State: Timisoara, g: 0.0, h: 329.0, f: 329.0, Order:0
  State: Arad, g: 118.0, h: 366.0, f: 484.0, Order:2
    State: Zerind, g: 193.0, h: 374.0, f: 567.0, Order:7
      State: Oradea, g: 264.0, h: 380.0, f: 644.0, Order:18
        State: Zerind, g: 335.0, h: 374.0, f: 709.0, Order:-1
        State: Sibiu, g: 415.0, h: 253.0, f: 668.0, Order:-1
      State: Arad, g: 268.0, h: 366.0, f: 634.0, Order:19
        State: Zerind, g: 343.0, h: 374.0, f: 717.0, Order:-1
        State: Sibiu, g: 408.0, h: 253.0, f: 661.0, Order:-1
        State: Timisoara, g: 386.0, h: 329.0, f: 715.0, Order:-1
    State: Sibiu, g: 258.0, h: 253.0, f: 511.0, Order:6
      State: Oradea, g: 409.0, h: 380.0, f: 789.0, Order:15
        State: Zerind, g: 480.0, h: 374.0, f: 854.0, Order:37
          State: Oradea, g: 551.0, h: 380.0, f: 931.0, Order:-1
          State: Arad, g: 555.0, h: 366.0, f: 921.0, Order:-1
        State: Sibiu, g: 560.0, h: 253.0, f: 813.0, Order:38
          State: Oradea, g: 711.0, h: 380.0, f: 1091.0, Order:-1
          State: Arad, g: 700.0, h: 366.0, f: 1066.0, Order:-1
          State: Fagaras, g: 659.0, h: 176.0, f: 835.0, Order:-1
          State: Rimnicu, g: 640.0, h: 193.0, f: 833.0, Order:-1
      State: Arad, g: 398.0, h: 366.0, f: 764.0, Order:14
        State: Zerind, g: 473.0, h: 374.0, f: 847.0, Order:35
          State: Oradea, g: 544.0, h: 380.0, f: 924.0, Order:-1
          State: Arad, g: 548.0, h: 366.0, f: 914.0, Order:-1
        State: Sibiu, g: 538.0, h: 253.0, f: 791.0, Order:36
          State: Oradea, g: 689.0, h: 380.0, f: 1069.0, Order:-1
          State: Arad, g: 678.0, h: 366.0, f: 1044.0, Order:-1
          State: Fagaras, g: 637.0, h: 176.0, f: 813.0, Order:-1
          State: Rimnicu, g: 618.0, h: 193.0, f: 811.0, Order:-1
        State: Timisoara, g: 516.0, h: 329.0, f: 845.0, Order:34
          State: Arad, g: 634.0, h: 366.0, f: 1000.0, Order:-1
          State: Lugoj, g: 627.0, h: 244.0, f: 871.0, Order:-1
      State: Fagaras, g: 357.0, h: 176.0, f: 533.0, Order:17
        State: Bucharest, g: 568.0, h: 0.0, f: 568.0, Order:-1
        State: Sibiu, g: 456.0, h: 253.0, f: 709.0, Order:-1
      State: Rimnicu, g: 338.0, h: 193.0, f: 531.0, Order:16
        State: Craiova, g: 484.0, h: 160.0, f: 644.0, Order:40
          State: Drobeta, g: 604.0, h: 242.0, f: 846.0, Order:-1
          State: Rimnicu, g: 630.0, h: 193.0, f: 823.0, Order:-1
          State: Pitesti, g: 622.0, h: 100.0, f: 722.0, Order:-1
        State: Sibiu, g: 418.0, h: 253.0, f: 671.0, Order:41
          State: Oradea, g: 569.0, h: 380.0, f: 949.0, Order:-1
          State: Arad, g: 558.0, h: 366.0, f: 924.0, Order:-1
          State: Fagaras, g: 517.0, h: 176.0, f: 693.0, Order:-1
          State: Rimnicu, g: 498.0, h: 193.0, f: 691.0, Order:-1
        State: Pitesti, g: 435.0, h: 100.0, f: 535.0, Order:39
          State: Craiova, g: 573.0, h: 160.0, f: 733.0, Order:-1
          State: Bucharest, g: 536.0, h: 0.0, f: 536.0, Order:-1
          State: Rimnicu, g: 532.0, h: 193.0, f: 725.0, Order:-1
    State: Timisoara, g: 236.0, h: 329.0, f: 565.0, Order:5
      State: Arad, g: 354.0, h: 366.0, f: 720.0, Order:13
        State: Zerind, g: 429.0, h: 374.0, f: 803.0, Order:31
          State: Oradea, g: 500.0, h: 380.0, f: 880.0, Order:-1
          State: Arad, g: 504.0, h: 366.0, f: 870.0, Order:-1
        State: Sibiu, g: 494.0, h: 253.0, f: 747.0, Order:32
          State: Oradea, g: 645.0, h: 380.0, f: 1025.0, Order:-1
          State: Arad, g: 634.0, h: 366.0, f: 1000.0, Order:-1
          State: Fagaras, g: 593.0, h: 176.0, f: 769.0, Order:-1
          State: Rimnicu, g: 574.0, h: 193.0, f: 767.0, Order:-1
        State: Timisoara, g: 472.0, h: 329.0, f: 801.0, Order:33
          State: Arad, g: 590.0, h: 366.0, f: 956.0, Order:-1
          State: Lugoj, g: 583.0, h: 244.0, f: 827.0, Order:-1
      State: Lugoj, g: 347.0, h: 244.0, f: 591.0, Order:12
        State: Mehadia, g: 417.0, h: 241.0, f: 658.0, Order:29
          State: Drobeta, g: 492.0, h: 242.0, f: 734.0, Order:-1
